laptop_id,full_name_with_specs,link_profile,full_name,producer,model,cpu,cpu_mark,gpu,disc,ram,ram_tech,display_size,display_resolution,display_hz,display_tech,weight,hdmi_version,wifi_version,bluetooth_version,webcam_resolution,microphone_count,publishing_date,price_in_dollar,review_link,amazon_link,dimensions,ethernet,fingerprint_reader,service_rank,service_level
583,"MSI Katana 15ProcessorIntel Core i7-12650HInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 4070 (Laptop, 105W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/msi-katana-15-267/,MSI Katana 15,MSI,Katana15,Intel Core i7-12650H,23461,"NVIDIA GeForce RTX 4070 (Laptop, 105W)",8000GB SSD,64GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,"359 x 259 x 24.9 mm (14.13"" x 10.20"" x 0.98"")",2.1,802.11ax,5.2,720p,,21.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
584,"Microsoft Surface Laptop 4ProcessorIntel Core i7-1185G7Internal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display13.5”, PixelSense (2256 x 1504)Solid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/microsoft-surface-laptop-4-235/,Microsoft Surface Laptop 4,Microsoft,SurfaceLaptop4,Intel Core i7-1185G7,10562,Intel Iris Xe Graphics G7 (96EU),2000GB SSD,16GB,LPDDR4x,13.5”, PixelSense (2256 x 1504),,,1.26 kg (2.8 lbs),,802.11ax,5.0,720p,2x Microphones,19.10.2023,,,,,,Fingerprint reader,6,79/100
585,"Lenovo IdeaPad 3i 15ProcessorIntel Core i3-1115G4Internal memory12GB RAMVideo cardIntel UHD Graphics Xe G4 (48EU)Display15.6”, Full HD (1920 x 1080), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-1602/,Lenovo IdeaPad 3i 15,Lenovo,IdeaPad3i15,Intel Core i3-1115G4,6143,Intel UHD Graphics Xe G4 (48EU),256GB SSD,12GB,,15.6”, Full HD (1920 x 1080),, TN,"359.2 x 236.5 x 19.9 mm (14.14"" x 9.31"" x 0.78"")",1.4b,802.11ax,5.1,720p,2x Microphones,19.10.2023,$559.00,https://laptopmedia.com/review/lenovo-ideapad-3i-gen-6-15/,https://www.amazon.com/exec/obidos/ASIN/B09PBF1T8H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,3,85/100
586,"Acer Nitro 16ProcessorIntel Core i7-13700HInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 4050 (Laptop, 140W)Display16.0″, WUXGA (1920 x 1200), 165 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/acer-nitro-16-7/,Acer Nitro 16,Acer,Nitro16,Intel Core i7-13700H,28201,"NVIDIA GeForce RTX 4050 (Laptop, 140W)",2000GB SSD,64GB,,16.0″, WUXGA (1920 x 1200), 165 Hz,,,2.1,802.11ax,5.1,720p,2x Microphones,23.08.2023,$1819.00,https://laptopmedia.com/review/acer-nitro-16-an16-51-review/,https://www.amazon.com/exec/obidos/ASIN/B0CDWXX5KQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"360.1 x 279.9 x 25.9 - 27.9 mm (14.18"" x 11.02"" x 1.02"")","10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
587,"Acer Swift 3ProcessorIntel Core i7-1165G7Internal memory8GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/acer-swift-3-824/,Acer Swift 3,Acer,Swift3,Intel Core i7-1165G7,10358,Intel Iris Xe Graphics G7 (96EU),512GB SSD,8GB,,14.0”, Full HD (1920 x 1080),, IPS,"323.4 x 218.9 x 15.9 mm (12.73"" x 8.62"" x 0.63"")",,802.11a/b/g/n/ac/ax,5.0,,,26.09.2023,,,,,,Fingerprint reader,7,73/100
588,"Acer Predator Helios 300ProcessorIntel Core i9-11900HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 105W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSHard drive1000GB HDDSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/acer-predator-helios-300-1799/,Acer Predator Helios 300,Acer,PredatorHelios300,Intel Core i9-11900H,20929,"NVIDIA GeForce RTX 3060 (Laptop, 105W)",1000GB SSD + 1000GB HDD,32GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,3.2 Gen 1 (5 Gbps),2.1,802.11ax,5.1,720p,2x Microphones,26.09.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
589,"Acer Swift 3ProcessorIntel Core i7-1165G7Internal memory8GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/acer-swift-3-842/,Acer Swift 3,Acer,Swift3,Intel Core i7-1165G7,10358,Intel Iris Xe Graphics G7 (96EU),256GB SSD,8GB,,14.0”, Full HD (1920 x 1080),, IPS,"323.4 x 218.9 x 15.9 mm (12.73"" x 8.62"" x 0.63"")",,802.11a/b/g/n/ac/ax,5.0,,,26.09.2023,,,,,,Fingerprint reader,7,73/100
590,"Dell G16 7620ProcessorIntel Core i7-12700HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop)Display16.0"", QHD (2560 x 1600), 165 Hz, IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/dell-g16-7620-129/,Dell G16 7620,Dell,G167620,Intel Core i7-12700H,26457,NVIDIA GeForce RTX 3060 (Laptop),4000GB SSD,32GB,,"16.0""", QHD (2560 x 1600), 165 Hz,,,2.1,802.11ax,5.2,720p,x Microphones,27.09.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,4,80/100
591,"ASUS TUF Dash F15ProcessorIntel Core i7-11370HInternal memory24GB RAMVideo cardNVIDIA GeForce RTX 3070 (Laptop, 85W)Display15.6”, Full HD (1920 x 1080), 240 Hz, IPSSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/asus-tuf-dash-f15-1379/,ASUS TUF Dash F15,ASUS,TUFDashF15,Intel Core i7-11370H,11773,"NVIDIA GeForce RTX 3070 (Laptop, 85W)",8000GB SSD,24GB,,15.6”, Full HD (1920 x 1080), 240 Hz,,,2.0b,802.11ax,5.1,,1x Microphone,25.09.2023,$7169.00,https://laptopmedia.com/review/asus-tuf-dash-f15-fx516-review-the-new-rtx-graphics-cards-look-promising/,https://www.amazon.com/exec/obidos/ASIN/B0CGMPR7HN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"360 x 252 x 19.9 mm (14.17"" x 9.92"" x 0.78"")","10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
592,"LG gram 16ProcessorIntel Core i7-1360PInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display16.0"", WQXGA (2560 x 1600), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lg-gram-16-449/,LG gram 16,LG,gram16,Intel Core i7-1360P,19277,NVIDIA GeForce RTX 3050 (Laptop),1000GB SSD,32GB,,"16.0""", WQXGA (2560 x 1600),, IPS,3.2 Gen 1 (5 Gbps),,802.11ax,5.2,1080p,2x Microphones,25.09.2023,,,,,,Fingerprint reader,,
593,"ASUS ROG Zephyrus G14ProcessorAMD Ryzen 9 7940HSInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 4080 (Laptop, 125W)Display14.0”, WQXGA (2560 x 1600), 165 Hz, IPSSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-1030/,ASUS ROG Zephyrus G14,ASUS,ROGZephyrusG14,AMD Ryzen 9 7940HS,30692,"NVIDIA GeForce RTX 4080 (Laptop, 125W)",8000GB SSD,64GB,,14.0”, WQXGA (2560 x 1600), 165 Hz,,,2.1,802.11ax,5.2,1080p,3x Microphones,26.09.2023,,,,"312 x 227 x 18.5 - 20.5 mm (12.28"" x 8.94"" x 0.73"")",,Fingerprint reader,5,80/100
594,"MSI Bravo 17ProcessorAMD Ryzen 7 7735HSInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop, 105W)Display17.3”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/msi-bravo-17-320/,MSI Bravo 17,MSI,Bravo17,AMD Ryzen 7 7735HS,24280,"NVIDIA GeForce RTX 4060 (Laptop, 105W)",2000GB SSD,32GB,,17.3”, Full HD (1920 x 1080), 144 Hz,,2.0,2.1,802.11ax,5.3,720p,,28.09.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
595,"HP 15ProcessorIntel Core i3-1115G4Internal memory16GB RAMVideo cardIntel UHD Graphics Xe G4 (48EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/hp-15-16829/,HP 15,HP,15,Intel Core i3-1115G4,6143,Intel UHD Graphics Xe G4 (48EU),512GB SSD,16GB,,15.6”, Full HD (1920 x 1080),, IPS,"358.5 x 242 x 19.9 mm (14.11"" x 9.53"" x 0.78"")",1.4b,802.11ac,4.2,720p,2x Microphones,26.09.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
596,"Lenovo IdeaPad 3 14ProcessorAMD Ryzen 5 5500UInternal memory8GB RAMVideo cardAMD Radeon RX Vega 7 (R4000/5000, 15W)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-14-1593/,Lenovo IdeaPad 3 14,Lenovo,IdeaPad314,AMD Ryzen 5 5500U,13159,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",256GB SSD,8GB,,14.0”, Full HD (1920 x 1080),, IPS,"324.2 x 215.7 x 19.9 mm (12.76"" x 8.49"" x 0.78"")",1.4b,802.11ax,5.1,720p,2x Microphones,02.11.2023,,,,,,Fingerprint reader,3,85/100
597,"Dell Latitude 5320ProcessorIntel Core i7-1185G7Internal memory32GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display13.3”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/dell-latitude-5320-77/,Dell Latitude 5320,Dell,Latitude5320,Intel Core i7-1185G7,10562,Intel Iris Xe Graphics G7 (96EU),512GB SSD,32GB,,13.3”, Full HD (1920 x 1080),, IPS,1.20 kg (2.6 lbs),2.0,802.11ax,5.1,720p / 1080p,x Microphones,01.11.2023,,,,,,Fingerprint reader,4,80/100
598,"Lenovo ThinkPad P14s Gen 2ProcessorIntel Core i7-1185G7Internal memory32GB RAMVideo cardNVIDIA Quadro T500Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-2-258/,Lenovo ThinkPad P14s Gen 2,Lenovo,ThinkPadP14sGen2,Intel Core i7-1185G7,10562,NVIDIA Quadro T500,512GB SSD,32GB,,14.0”, Full HD (1920 x 1080),, IPS,"329 x 227 x 17.9 mm (12.95"" x 8.94"" x 0.70"")",2.0,802.11ax,5.2,720p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",,3,85/100
599,"ASUS ROG Strix G15ProcessorAMD Ryzen 7 4800HInternal memory24GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 130W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-1135/,ASUS ROG Strix G15,ASUS,ROGStrixG15,AMD Ryzen 7 4800H,18678,"NVIDIA GeForce RTX 3060 (Laptop, 130W)",1000GB SSD,24GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,"354.9 x 259.9 x 22.9 ~ 27.2  mm (13.97"" x 10.23"" x 0.90"")",2.0b,802.11ax,5.1,,1x Microphone,01.11.2023,$1239.00,https://laptopmedia.com/review/asus-rog-strix-g15-g513-review-a-possible-best-seller-for-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CH376K7X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
600,"HP OMEN 16ProcessorIntel Core i9-13900HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 4070 (Laptop)Display16.1″, QHD (2560 x 1600), 240 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-16-1341/,HP OMEN 16,HP,OMEN16,Intel Core i9-13900HX,44951,NVIDIA GeForce RTX 4070 (Laptop),1000GB SSD,16GB,,16.1″, QHD (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.3,1080p,2x Microphones,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
601,"HP OMEN 16ProcessorIntel Core i7-13700HXInternal memory24GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop)Display16.1″, QHD (2560 x 1600), 240 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-16-1318/,HP OMEN 16,HP,OMEN16,Intel Core i7-13700HX,34153,NVIDIA GeForce RTX 4060 (Laptop),1000GB SSD,24GB,,16.1″, QHD (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.3,1080p,2x Microphones,31.10.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
602,"LG gram 16ProcessorIntel Core i7-1360PInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display16.0"", WQXGA (2560 x 1600), IPSSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/lg-gram-16-550/,LG gram 16,LG,gram16,Intel Core i7-1360P,19277,NVIDIA GeForce RTX 3050 (Laptop),8000GB SSD,32GB,,"16.0""", WQXGA (2560 x 1600),, IPS,3.2 Gen 1 (5 Gbps),,802.11ax,5.2,1080p,2x Microphones,31.10.2023,,,,,,Fingerprint reader,,
603,"Lenovo IdeaPad 3i 15ProcessorIntel Core i3-1115G4Internal memory8GB RAMVideo cardIntel UHD Graphics Xe G4 (48EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-1702/,Lenovo IdeaPad 3i 15,Lenovo,IdeaPad3i15,Intel Core i3-1115G4,6143,Intel UHD Graphics Xe G4 (48EU),256GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, IPS,"359.2 x 236.5 x 19.9 mm (14.14"" x 9.31"" x 0.78"")",1.4b,802.11ax,5.1,720p,2x Microphones,02.11.2023,,,,,,Fingerprint reader,3,85/100
604,"ASUS ROG Strix SCAR 15ProcessorAMD Ryzen 9 5900HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3080 (Laptop, 110W)Display15.6”, Full HD (1920 x 1080), 300 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-15-953/,ASUS ROG Strix SCAR 15,ASUS,ROGStrixSCAR15,AMD Ryzen 9 5900HX,22734,"NVIDIA GeForce RTX 3080 (Laptop, 110W)",512GB SSD,16GB,DDR4,15.6”, Full HD (1920 x 1080), 300 Hz,,,2.0b,802.11ax,5.1,,1x Microphone,23.08.2023,,,,"355 x 260 x 22.6 ~ 27.2  mm (13.98"" x 10.24"" x 0.89"")","10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
605,"HP EliteBook 845 G9ProcessorAMD Ryzen 5 6600UInternal memory32GB RAMVideo cardAMD Radeon 660MDisplay14.0”, WUXGA (1920 x 1200), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-elitebook-845-g9-155/,HP EliteBook 845 G9,HP,EliteBook845G9,AMD Ryzen 5 6600U,17139,AMD Radeon 660M,1000GB SSD,32GB,,14.0”, WUXGA (1920 x 1200),, IPS,,2.0,802.11ax,5.2,720p,2x Microphones,22.09.2023,,,,,,Fingerprint reader,9,63/100
606,"HP OMEN 16ProcessorIntel Core i9-12900HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 140W)Display16.1″, QHD (2560 x 1600), 165 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-16-1207/,HP OMEN 16,HP,OMEN16,Intel Core i9-12900H,28587,"NVIDIA GeForce RTX 3060 (Laptop, 140W)",2000GB SSD,16GB,,16.1″, QHD (2560 x 1600), 165 Hz,,,2.1,802.11ax,5.2,720p,2x Microphones,20.09.2023,$1819.00,https://laptopmedia.com/review/hp-omen-16-16-k0000/,https://www.amazon.com/exec/obidos/ASIN/B0CG82MHSG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"369.06 x 247.90 x 23 mm (14.53"" x 9.76"" x 0.91"")","10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
607,"ASUS Vivobook 17XProcessorIntel Core i3-1220PInternal memory12GB RAMVideo cardIntel UHD Graphics (Alder Lake, 64EU)Display17.3”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-17x-524/,ASUS Vivobook 17X,ASUS,Vivobook17X,Intel Core i3-1220P,14389,"Intel UHD Graphics (Alder Lake, 64EU)",512GB SSD,12GB,,17.3”, Full HD (1920 x 1080),, IPS,2.0,1.4,802.11ax,5.0,720p,1x Microphone,25.09.2023,,,,,,Fingerprint reader,5,80/100
608,"Lenovo IdeaPad 3 15ProcessorIntel Core i3-1115G4Internal memory16GB RAMVideo cardIntel UHD Graphics Xe G4 (48EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4665/,Lenovo IdeaPad 3 15,Lenovo,IdeaPad315,Intel Core i3-1115G4,6143,Intel UHD Graphics Xe G4 (48EU),512GB SSD,16GB,,15.6”, Full HD (1920 x 1080),, IPS,"362.2 x 253.4 x 19.9 mm (14.26"" x 9.98"" x 0.78"")",1.4b,802.11ax,5.0,720p,2x Microphones,20.09.2023,$529.00,https://laptopmedia.com/review/lenovo-ideapad-3-15-review-amd-or-intel-the-choice-is-yours/,https://www.amazon.com/exec/obidos/ASIN/B0CGCC8P65?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,3,85/100
609,"Dell G15 5525ProcessorAMD Ryzen 5 6600HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/dell-g15-5525-107/,Dell G15 5525,Dell,G155525,AMD Ryzen 5 6600H,18976,NVIDIA GeForce RTX 3050 (Laptop),2000GB SSD,32GB,,15.6”, Full HD (1920 x 1080), 120 Hz,,3.2 Gen 1 (5 Gbps),2.1,802.11ax,5.2,720p,2x Microphones,21.09.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,4,80/100
610,"Microsoft Surface Laptop 5ProcessorIntel Core i7-1255UInternal memory8GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display15.0”, PixelSense (2496 x 1664)Solid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/microsoft-surface-laptop-5-162/,Microsoft Surface Laptop 5,Microsoft,SurfaceLaptop5,Intel Core i7-1255U,13790,Intel Iris Xe Graphics G7 (96EU),256GB SSD,8GB,LPDDR5x,15.0”, PixelSense (2496 x 1664),,,1.56 kg (3.4 lbs),,802.11ax,5.1,720p,2x Microphones,25.09.2023,,,,"340 x 244 x 14.7 mm (13.39"" x 9.61"" x 0.58"")",,Fingerprint reader,6,79/100
611,"HP 14ProcessorIntel Core i3-1005G1Internal memory64GB RAMVideo cardIntel UHD Graphics G1Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/hp-14-6293/,HP 14,HP,14,Intel Core i3-1005G1,4989,Intel UHD Graphics G1,4000GB SSD,64GB,,14.0”, Full HD (1920 x 1080),, IPS,3.2 Gen 1 (5 Gbps),1.4b,802.11b/g/n,4.2,720p,2x Microphones,20.09.2023,,,,,,,9,63/100
612,"HP 15ProcessorIntel Core i5-1135G7Internal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6”, HD (1366 x 768), TNHard drive1000GB HDD",https://laptopmedia.com/laptop-specs/hp-15-17208/,HP 15,HP,15,Intel Core i5-1135G7,9901,Intel Iris Xe Graphics G7 (80EU),1000GB HDD,16GB,,15.6”, HD (1366 x 768),, TN,"358.5 x 242 x 19.9 mm (14.11"" x 9.53"" x 0.78"")",1.4b,802.11ac,4.2,720p,2x Microphones,17.10.2023,$875.00,https://laptopmedia.com/review/hp-15-15-dw1000-review-you-get-a-lot-for-such-a-low-price/,https://www.amazon.com/exec/obidos/ASIN/B0BTKY1G6C?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
613,"HP ENVY 17ProcessorIntel Core i7-13700HInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display17.3”, Full HD (1920 x 1080), IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/hp-envy-17-3731/,HP ENVY 17,HP,ENVY17,Intel Core i7-13700H,28201,NVIDIA GeForce RTX 3050 (Laptop),4000GB SSD,48GB,,17.3”, Full HD (1920 x 1080),, IPS,3.2 Gen 2 (10 Gbps),2.1,802.11ax,5.2,720p,2x Microphones,17.10.2023,,,,,,,9,63/100
614,"HP ENVY 17ProcessorIntel Core i7-13700HInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display17.3”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-envy-17-3736/,HP ENVY 17,HP,ENVY17,Intel Core i7-13700H,28201,NVIDIA GeForce RTX 3050 (Laptop),1000GB SSD,64GB,,17.3”, Full HD (1920 x 1080),, IPS,3.2 Gen 2 (10 Gbps),2.1,802.11ax,5.2,720p,2x Microphones,17.10.2023,,,,,,,9,63/100
615,"HP 15ProcessorIntel Core i5-1135G7Internal memory64GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6”, HD (1366 x 768), TNSolid-state drive7600GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17267/,HP 15,HP,15,Intel Core i5-1135G7,9901,Intel Iris Xe Graphics G7 (80EU),7600GB SSD,64GB,,15.6”, HD (1366 x 768),, TN,"358.5 x 242 x 19.9 mm (14.11"" x 9.53"" x 0.78"")",1.4b,802.11ac,4.2,720p,2x Microphones,17.10.2023,$3635.00,https://laptopmedia.com/review/hp-15-15-dw1000-review-you-get-a-lot-for-such-a-low-price/,https://www.amazon.com/exec/obidos/ASIN/B0BJH6L43R?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
616,"HP 15ProcessorAMD Ryzen 3 5300UInternal memory8GB RAMVideo cardAMD Radeon RX Vega 6 (R4000/5000, 15W)Display15.6”, HD (1366 x 768), TNSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17448/,HP 15,HP,15,AMD Ryzen 3 5300U,9712,"AMD Radeon RX Vega 6 (R4000/5000, 15W)",512GB SSD,8GB,,15.6”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ac,4.2,720p,,18.10.2023,,,,,,Fingerprint reader,9,63/100
617,"HP 17ProcessorIntel Core i7-1355UInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display17.3”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-17-17746/,HP 17,HP,17,Intel Core i7-1355U,15276,Intel Iris Xe Graphics G7 (96EU),1000GB SSD,16GB,,17.3”, Full HD (1920 x 1080),, IPS,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.2,720p,2x Microphones,03.11.2023,,,,,,Fingerprint reader,9,63/100
618,"Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory16GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-889/,Lenovo IdeaPad Gaming 3i 15,Lenovo,IdeaPadGaming3i15,Intel Core i5-11300H,11002,NVIDIA GeForce GTX 1650 (Laptop),512GB SSD,16GB,,15.6”, Full HD (1920 x 1080), 120 Hz,,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")",2.0,802.11ax,5.0,720p,2x Microphones,02.11.2023,$819.00,https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CG1H5MJ7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
619,"Acer Aspire 3 (A315-56-594W)ProcessorIntel Core i5-1035G1Internal memory8GB RAMVideo cardIntel UHD Graphics G1Display15.6”, Full HD (1920 x 1080), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-3-a315-56-594w-4/,Acer Aspire 3 (A315-56-594W),Acer,Aspire3(A315-56-594W),Intel Core i5-1035G1,7469,Intel UHD Graphics G1,256GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, TN,2.0,,802.11ac,4.2,,,04.09.2020,,,,,,,7,73/100
620,"ASUS ROG Zephyrus M15 GU502ProcessorIntel Core i7-10750HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 2070 Max-QDisplay15.6”, Full HD (1920 x 1080), 240 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-m15-gu502-37/,ASUS ROG Zephyrus M15 GU502,ASUS,ROGZephyrusM15GU502,Intel Core i7-10750H,12027,NVIDIA GeForce RTX 2070 Max-Q,1000GB SSD,16GB,3200MHz,15.6”, Full HD (1920 x 1080), 240 Hz,,,2.0b,802.11ax,5.0,,,23.09.2020,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
621,"Dell Inspiron 7586 2-in-1ProcessorIntel Core i5-8265UInternal memory16GB RAMVideo cardIntel UHD Graphics 620Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/dell-inspiron-7586-2-in-1-4/,Dell Inspiron 7586 2-in-1,Dell,Inspiron75862-in-1,Intel Core i5-8265U,6021,Intel UHD Graphics 620,256GB SSD,16GB,,15.6”, Full HD (1920 x 1080),, IPS,"3.2 Gen 1 (5 Gbps), Power Delivery (PD), DisplayPort",2.0,802.11ac,,,,24.09.2020,,,,,,Fingerprint reader,4,80/100
